municipalidad,anio_semestre,tipo_compra,TamanoProveedor,monto_neto_clp,n_items,n_ordenes,n_proveedores
Cerro Navia,2015-2,trato_directo,Micro,30328853,243,58,18
Cerro Navia,2015-2,trato_directo,Pequeña,7522639,50,22,14
Cerro Navia,2016-1,convenio_marco,Grande,81541286,465,83,13
Cerro Navia,2016-1,convenio_marco,Mediana,55878726,145,31,13
Cerro Navia,2016-1,convenio_marco,Micro,40228790,27,22,14
Cerro Navia,2016-1,convenio_marco,Pequeña,68190126,51,37,16
Cerro Navia,2016-1,licitacion,Grande,4823395,13,2,1
Cerro Navia,2016-1,licitacion,Mediana,3668598,36,7,6
Cerro Navia,2016-1,licitacion,Micro,89940141,246,52,39
Cerro Navia,2016-1,licitacion,Pequeña,43710211,207,31,19
Cerro Navia,2016-1,trato_directo,Grande,26078657,89,31,10
Cerro Navia,2016-1,trato_directo,Mediana,10512605,2,2,2
Cerro Navia,2016-1,trato_directo,Micro,56166945,270,77,15
Cerro Navia,2016-1,trato_directo,Pequeña,4528454,26,9,8
Cerro Navia,2016-2,convenio_marco,Grande,96120918,672,106,11
Cerro Navia,2016-2,convenio_marco,Mediana,14606387,100,36,13
Cerro Navia,2016-2,convenio_marco,Micro,56105768,73,49,25
Cerro Navia,2016-2,convenio_marco,Pequeña,248688448,102,58,23
Cerro Navia,2016-2,licitacion,Grande,40436063,15,8,7
Cerro Navia,2016-2,licitacion,Mediana,23207181,33,9,6
Cerro Navia,2016-2,licitacion,Micro,719833503,450,85,53
Cerro Navia,2016-2,licitacion,NoClasificado,75133,15,1,1
Cerro Navia,2016-2,licitacion,Pequeña,197611961,594,76,30
Cerro Navia,2016-2,trato_directo,Grande,6281361,31,13,8
Cerro Navia,2016-2,trato_directo,Mediana,2958257,16,12,3
Cerro Navia,2016-2,trato_directo,Micro,33571421,304,153,15
Cerro Navia,2016-2,trato_directo,Pequeña,10009870,47,32,13
Cerro Navia,2017-1,convenio_marco,Grande,140104080,511,98,19
Cerro Navia,2017-1,convenio_marco,Mediana,54951631,500,77,11
Cerro Navia,2017-1,convenio_marco,Micro,87670917,105,61,34
Cerro Navia,2017-1,convenio_marco,Pequeña,36163982,101,34,21
Cerro Navia,2017-1,licitacion,Grande,3882142,19,5,4
Cerro Navia,2017-1,licitacion,Mediana,9235830,83,11,8
Cerro Navia,2017-1,licitacion,Micro,39280527,185,48,38
Cerro Navia,2017-1,licitacion,Pequeña,22183802,140,24,15
Cerro Navia,2017-1,trato_directo,Grande,23348895,23,11,6
Cerro Navia,2017-1,trato_directo,Mediana,5002069,27,7,5
Cerro Navia,2017-1,trato_directo,Micro,7454924,118,33,13
Cerro Navia,2017-1,trato_directo,Pequeña,6323569,24,5,3
Cerro Navia,2017-2,convenio_marco,Grande,49665548,302,56,16
Cerro Navia,2017-2,convenio_marco,Mediana,97916837,343,48,16
Cerro Navia,2017-2,convenio_marco,Micro,168637889,191,90,40
Cerro Navia,2017-2,convenio_marco,Pequeña,33826193,66,37,25
Cerro Navia,2017-2,licitacion,Grande,27242211,19,7,6
Cerro Navia,2017-2,licitacion,Mediana,139548015,140,15,7
Cerro Navia,2017-2,licitacion,Micro,166652477,248,41,31
Cerro Navia,2017-2,licitacion,NoClasificado,537718,42,2,1
Cerro Navia,2017-2,licitacion,Pequeña,112750138,308,29,18
Cerro Navia,2017-2,trato_directo,Grande,460571182,13,10,8
Cerro Navia,2017-2,trato_directo,Mediana,782400,32,6,2
Cerro Navia,2017-2,trato_directo,Micro,16576919,212,46,16
Cerro Navia,2017-2,trato_directo,Pequeña,3722780,27,10,8
Cerro Navia,2018-1,convenio_marco,Grande,110392394,262,66,16
Cerro Navia,2018-1,convenio_marco,Mediana,58321008,510,57,13
Cerro Navia,2018-1,convenio_marco,Micro,78147481,160,80,42
Cerro Navia,2018-1,convenio_marco,NoClasificado,906040,1,1,1
Cerro Navia,2018-1,convenio_marco,Pequeña,78356925,98,35,18
Cerro Navia,2018-1,licitacion,Grande,7169101,71,5,4
Cerro Navia,2018-1,licitacion,Mediana,3295180,6,3,3
Cerro Navia,2018-1,licitacion,Micro,42784443,377,44,31
